artist,song,week_number,chart_rank,date
"McBride, Martina",There You Are,9,60.0,2000-11-04
Lil' Kim,No Matter What They Say,9,90.0,2000-09-09
Splender,I Think God Can Explain,9,81.0,2000-08-05
M2M,Mirror Mirror,9,62.0,2000-05-27
Kumbia Kings,U Don't Love Me,9,89.0,2000-04-29
Joe,Treat Her Like A Lady,9,72.0,2000-09-30
"Blige, Mary J.",Deep Inside,9,65.0,2000-01-08
"Price, Kelly",You Should've Told Me,9,70.0,2000-11-18
Changing Faces,That Other Woman,9,75.0,2000-11-25
"Wright, Chely",It Was,9,85.0,2000-04-29
Limp Bizkit,Rollin',9,74.0,2001-01-06
Hot Boys,I Need A Hot Girl,9,79.0,2000-04-15
Jay-Z,Do It Again (Put Ya Hands Up),9,95.0,2000-03-11
"Adkins, Trace",More,9,73.0,2000-06-24
"Dixie Chicks, The",Cold Day In July,9,84.0,2000-08-19
DMX,What's My Name,9,90.0,2000-03-11
Red Hot Chili Peppers,Californication,9,85.0,2000-09-23
Third Eye Blind,Deep Inside Of You,9,90.0,2000-10-28
"Offspring, The",Original Prankster,9,92.0,2001-01-20
"Anthony, Marc",My Baby You,9,76.0,2000-11-11
"Houston, Whitney","Same Script, Different Cast",9,91.0,2000-08-12
"Kravitz, Lenny",I Belong To You,9,93.0,2000-05-20
"Loveless, Patty",That's The Kind Of Mood I'm In,9,73.0,2000-11-11
"Rimes, LeAnn",Can't Fight The Moonlight,9,83.0,2000-11-04
Lil Wayne,Tha Block Is Hot,9,86.0,2000-01-29
Drama,"Left, Right, Left",9,91.0,2000-04-08
Limp Bizkit,N 2 Gether Now,9,90.0,2000-01-29
Ying Yang Twins,Whistle While You Twurk,9,85.0,2000-05-13
"Walker, Clay","Live, Laugh, Love",9,79.0,2000-01-29
Metallica,No Leaf Clover (Live),9,95.0,2000-04-08
Big Punisher,It's So Hard,9,78.0,2000-06-17
"Worley, Darryl",When You Need My Love,9,80.0,2000-08-12
Lil' Kim,How Many Licks?,9,96.0,2001-01-20
"Cagle, Chris",My Love Goes On And On,9,79.0,2000-12-16
Metallica,I Disappear,9,78.0,2000-07-08
Jay-Z,Hey Papi,9,76.0,2000-10-07
Fatboy Slim,The Rockafeller Skank,9,82.0,2000-01-08
Ginuwine,The Best Man I Can Be,9,77.0,2000-03-04
Before Dark,Monica,9,100.0,2000-07-15
Stone Temple Pilots,Sour Girl,9,95.0,2000-09-02
"Cyrus, Billy Ray",You Won't Be Lonely Now,9,82.0,2000-11-18
Clark Family Experience,Meanwhile Back At The Ranch,9,82.0,2001-01-13
"Thomas, Carl",Summer Rain,9,88.0,2000-11-18
Trick Daddy,Shut Up,9,92.0,2000-07-15
"Moore, Chante",Straight Up,9,98.0,2000-12-23
Cam'ron,What Means The World To You,9,95.0,2000-12-09
Madison Avenue,Don't Call Me Baby,9,90.0,2000-09-02
Limp Bizkit,Re-Arranged,9,92.0,2000-01-29
Nu Flavor,3 Little Words,9,98.0,2000-07-29
"Hart, Beth",L.A. Song,9,99.0,2000-01-22
"Herndon, Ty",No Mercy,9,95.0,2000-05-13
Destiny's Child,Independent Women Part I,10,1.0,2000-11-25
Santana,"Maria, Maria",10,1.0,2000-04-15
Savage Garden,I Knew I Loved You,10,4.0,1999-12-25
Madonna,Music,10,2.0,2000-10-14
"Aguilera, Christina",Come On Over Baby (All I Want Is You),10,11.0,2000-10-07
Janet,Doesn't Really Matter,10,5.0,2000-08-19
Destiny's Child,Say My Name,10,18.0,2000-02-26
"Iglesias, Enrique",Be With You,10,6.0,2000-06-03
Sisqo,Incomplete,10,2.0,2000-08-26
Lonestar,Amazed,10,27.0,1999-08-07
N'Sync,It's Gonna Be Me,10,7.0,2000-07-08
"Aguilera, Christina",What A Girl Wants,10,2.0,2000-01-29
Vertical Horizon,Everything You Want,10,19.0,2000-03-25
Creed,With Arms Wide Open,10,74.0,2000-07-15
Aaliyah,Try Again,10,10.0,2000-05-20
matchbox twenty,Bent,10,12.0,2000-07-01
"Carey, Mariah",Thank God I Found You,10,2.0,2000-02-12
"Hill, Faith",Breathe,10,43.0,2000-01-08
Mya,Case Of The Ex (Whatcha Gonna Do),10,17.0,2000-10-21
Dream,He Loves U Not,10,18.0,2000-12-02
"Braxton, Toni",He Wasn't Man Enough,10,4.0,2000-05-20
"Anthony, Marc",You Sang To Me,10,13.0,2000-04-29
98¡,Give Me Just One Night (Una Noche),10,6.0,2000-10-21
Destiny's Child,Jumpin' Jumpin',10,18.0,2000-07-15
3 Doors Down,Kryptonite,10,51.0,2000-06-10
Sisqo,Thong Song,10,10.0,2000-04-01
"Aguilera, Christina",I Turn To You,10,17.0,2000-06-17
"Houston, Whitney",My Love Is Your Love,10,7.0,1999-11-06
Joe,I Wanna Know,10,27.0,2000-03-04
"Jordan, Montell",Get It On.. Tonite,10,24.0,1999-12-25
N'Sync,Bye Bye Bye,10,5.0,2000-04-01
Eminem,The Real Slim Shady,10,4.0,2000-07-08
Pink,Most Girls,10,8.0,2000-10-14
"Mumba, Samantha",Gotta Tell You,10,8.0,2000-11-11
Blaque,Bring It All To Me,10,9.0,1999-12-25
"Elliott, Missy ""Misdemeanor""",Hot Boyz,10,7.0,2000-01-29
"Gray, Macy",I Try,10,7.0,2000-04-22
N'Sync,This I Promise You,10,5.0,2000-12-02
Ruff Endz,No More,10,5.0,2000-09-02
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,10,9.0,2000-03-04
Nine Days,Absolutely (Story Of A Girl),10,13.0,2000-07-08
"Dion, Celine",That's The Way It Is,10,14.0,2000-01-15
Blink-182,All The Small Things,10,15.0,2000-02-05
Eiffel 65,Blue (Da Ba Dee),10,9.0,2000-02-12
"Badu, Erkyah",Bag Lady,10,9.0,2000-10-21
Pink,There U Go,10,15.0,2000-05-06
Creed,Higher,10,57.0,1999-11-13
Nelly,(Hot S**t) Country Grammar,10,36.0,2000-07-01
Next,Wifey,10,24.0,2000-07-29
Sonique,It Feels So Good,10,12.0,2000-03-25
"Spears, Britney",Oops!.. I Did It Again,10,10.0,2000-06-24
"Backstreet Boys, The",Shape Of My Heart,10,12.0,2000-12-16
Everclear,Wonderful,10,25.0,2000-09-09
Ja Rule,Between Me And You,10,11.0,2000-11-18
"Rimes, LeAnn",I Need You,10,50.0,2000-07-29
Smash Mouth,Then The Morning Comes,10,14.0,2000-01-01
Jay-Z,I Just Wanna Love U (Give It 2 Me),10,11.0,2000-12-30
Jagged Edge,Let's Get Married,10,26.0,2000-07-08
Filter,Take A Picture,10,19.0,2000-01-29
"Martin, Ricky",She Bangs,10,20.0,2000-12-09
Mystikal,Shake Ya Ass,10,14.0,2000-10-14
BBMak,Back Here,10,18.0,2000-07-01
"Spears, Britney",From The Bottom Of My Broken Heart,10,35.0,2000-04-01
Third Eye Blind,Never Let You Go,10,16.0,2000-03-25
Red Hot Chili Peppers,Otherside,10,29.0,2000-04-15
Profyle,Liar,10,33.0,2000-11-18
Barenaked Ladies,Pinch Me,10,25.0,2000-11-11
Jagged Edge,He Can't Love U,10,25.0,2000-02-12
504 Boyz,Wobble Wobble,10,57.0,2000-06-17
Sting,Desert Rose,10,21.0,2000-07-15
Jay-Z,Big Pimpin',10,19.0,2000-06-24
Kid Rock,Only God Knows Why,10,19.0,2000-04-22
Foo Fighters,Learn To Fly,10,25.0,1999-12-18
"Dixie Chicks, The",Goodbye Earl,10,61.0,2000-05-20
Guy,Dancin',10,75.0,2000-02-19
Lil Bow Wow,Bounce With Me,10,27.0,2000-10-21
Westlife,Swear It Again,10,35.0,2000-06-03
Train,Meet Virginia,10,24.0,1999-12-11
"Thomas, Carl",I Wish,10,21.0,2000-05-27
"Simpson, Jessica",I Think I'm In Love With You,10,27.0,2000-09-02
Ludacris,What's Your Fantasy,10,25.0,2000-12-02
Lil' Zane,Callin' Me,10,59.0,2000-09-30
M2M,Don't Say You Love Me,10,92.0,2000-01-22
SoulDecision,Faded,10,22.0,2000-09-09
"Brock, Chad",Yes!,10,31.0,2000-06-10
"Martin, Ricky",Shake Your Bon-Bon,10,54.0,2000-01-22
Vertical Horizon,You're A God,10,26.0,2000-10-28
Avant,Separated,10,25.0,2000-07-01
"Rimes, LeAnn",Big Deal,10,26.0,1999-12-18
IMx,Stay The Night,10,34.0,1999-12-11
Dr. Dre,The Next Episode,10,23.0,2000-07-29
"Spears, Britney",Lucky,10,86.0,2000-10-14
Savage Garden,Crash And Burn,10,29.0,2000-06-10
Kandi,Don't Think I'm Not,10,24.0,2000-10-07
Sammie,I Like It,10,29.0,2000-04-01
Goo Goo Dolls,Broadway,10,26.0,2000-06-24
"Moore, Mandy",I Wanna Be With You,10,34.0,2000-08-19
Dr. Dre,Forgot About Dre,10,25.0,2000-03-25
D'Angelo,Untitled (How Does It Feel),10,35.0,2000-03-25
"Messina, Jo Dee",That's The Way,10,25.0,2000-08-26
Avant,My First Love,10,31.0,2001-01-06
Son By Four,A Puro Dolor (Purest Of Pain),10,60.0,2000-06-10
Da Brat,What'Chu Like,10,31.0,2000-08-05
DMX,Party Up (Up In Here),10,27.0,2000-04-29
"Dixie Chicks, The",Cowboy Take Me Away,10,27.0,2000-01-29
"McGraw, Tim",My Next Thirty Years,10,27.0,2000-12-23
"Tritt, Travis",Best Of Intentions,10,38.0,2000-10-21
Alice Deejay,Better Off Alone,10,30.0,2000-06-10
Hoku,Another Dumb Blonde,10,41.0,2000-04-22
"Houston, Whitney",I Learned From The Best,10,73.0,2000-04-22
Counting Crows,Hanginaround,10,32.0,2000-01-08
Mary Mary,Shackles (Praise You),10,30.0,2000-05-27
"McGraw, Tim",My Best Friend,10,29.0,2000-01-29
Sugar Ray,Falls Apart,10,37.0,2000-03-18
"Jones, Donell",Where I Wanna Be,10,35.0,2000-06-24
"Paisley, Brad",We Danced,10,29.0,2000-12-16
Lonestar,What About Now,10,34.0,2000-08-12
"Backstreet Boys, The",The One,10,61.0,2000-07-29
"Keith, Toby",How Do You Like Me Now?!,10,32.0,2000-04-01
"Strait, George",The Best Day,10,34.0,2000-04-01
"Dixie Chicks, The",Without You,10,40.0,2000-12-09
Musiq,Just Friends (Sunny),10,34.0,2000-12-16
"McEntire, Reba",What Do You Say,10,46.0,2000-01-01
"Braxton, Toni",Just Be A Man About It,10,38.0,2000-09-30
"Iglesias, Enrique",Rhythm Divine,10,38.0,2000-02-05
"Fabian, Lara",I Will Love Again,10,32.0,2000-08-12
Bon Jovi,It's My Life,10,34.0,2000-10-14
"Evans, Sara",Born To Fly,10,39.0,2000-12-23
"Chesney, Kenny",I Lost It,10,34.0,2000-12-23
J-Shin,One Night Stand,10,34.0,2000-02-26
Eve,Love Is Blind,10,46.0,2000-03-11
Aaliyah,I Don't Wanna,10,36.0,2000-04-01
"Montgomery, John Michael",The Little Girl,10,38.0,2000-11-11
"Carter, Aaron",Aaron's Party (Come Get It),10,55.0,2000-10-28
"Vassar, Phil",Just Another Day In Paradise,10,35.0,2000-12-02
Ice Cube,You Can Do It,10,54.0,2000-02-05
"Wills, Mark",Back At One,10,46.0,2000-03-18
Lucy Pearl,Dance Tonight,10,40.0,2000-07-22
"Jackson, Alan",It Must Be Love,10,38.0,2000-08-26
"Griggs, Andy",She's More,10,48.0,2000-05-13
No Doubt,Simple Kind Of Life,10,85.0,2000-09-02
"Jean, Wyclef",911,10,38.0,2000-12-09
Rascal Flatts,Prayin' For Daylight,10,54.0,2000-07-08
Vitamin C,Graduation (Friends Forever),10,42.0,2000-06-17
"Gilman, Billy",One Voice,10,44.0,2000-08-19
Lonestar,Smile,10,39.0,2000-02-19
"Rogers, Kenny",Buy Me A Rose,10,40.0,2000-05-13
"Lawrence, Tracy",Lessons Learned,10,42.0,2000-04-01
"Strait, George",Go On,10,40.0,2000-10-28
Sisqo,Got To Get It,10,40.0,2000-01-22
Baha Men,Who Let The Dogs Out,10,54.0,2000-09-23
"Walker, Clay",The Chain Of Love,10,45.0,2000-06-17
"McBride, Martina",Love's The Only House,10,43.0,2000-04-08
"Tippin, Aaron",Kiss This,10,46.0,2000-10-28
SheDaisy,I Will.. But,10,43.0,2000-09-16
"Raye, Collin",Couldn't Last A Moment,10,49.0,2000-05-20
Black Rob,Whoa!,10,58.0,2000-05-06
"Jackson, Alan",Pop A Top,10,52.0,2000-01-15
"Black, Clint",Been There,10,44.0,2000-04-22
Common,The Light,10,56.0,2000-10-07
"Vassar, Phil",Carlene,10,50.0,2000-05-06
"Jackson, Alan",www.memory,10,69.0,2001-01-06
"Eastsidaz, The",G'D Up,10,69.0,2000-03-11
Ideal,Whatever,10,48.0,2000-08-12
"Thomas, Carl",Emotional,10,52.0,2001-01-27
Ginuwine,None Of Ur Friends Business,10,55.0,2000-02-12
"Davidson, Clay",Unconditional,10,56.0,2000-05-27
DMX,What You Want,10,57.0,2000-09-02
"John, Elton",Someday Out Of The Blue,10,90.0,2000-06-24
Mya,The Best Of Me,10,61.0,2000-06-17
"Heatherly, Eric",Flowers On The Wall,10,65.0,2000-07-01
Eminem,Stan,10,70.0,2001-01-06
"McEntire, Reba",I'll Be,10,55.0,2000-07-15
"Lopez, Jennifer",Feelin' Good,10,79.0,2000-04-22
"Urban, Keith",Your Everything,10,51.0,2000-09-16
"Gill, Vince",Feels Like Love,10,54.0,2000-11-04
"Houston, Whitney",Could I Have This Kiss Forever,10,56.0,2000-08-19
Bloodhound Gang,The Bad Touch,10,92.0,2000-05-20
"Williams, Robbie",Angels,10,53.0,2000-01-22
"Messina, Jo Dee",Because You Love Me,10,61.0,2000-04-01
"Keith, Toby",Country Comes To Town,10,55.0,2000-10-07
Beenie Man,Girls Dem Sugar,10,75.0,2000-12-23
"Hill, Faith",Let's Make Love,10,55.0,2000-10-14
Kelis,Caught Out There,10,67.0,2000-02-05
3 Doors Down,Loser,10,61.0,2000-12-23
Brooks & Dunn,You'll Always Be Loved By Me,10,68.0,2000-08-12
"Chesney, Kenny",What I Need To Do,10,57.0,2000-06-03
"Stone, Angie",No More Rain (In This Cloud),10,69.0,2000-02-26
Da Brat,That's What I'm Looking For,10,70.0,2000-04-29
Papa Roach,Last Resort,10,64.0,2000-09-30
"Adams, Yolanda",Open My Heart,10,59.0,2000-10-28
Shyne,Bad Boyz,10,78.0,2000-11-11
R.E.M.,The Great Beyond,10,59.0,2000-02-26
"Diffie, Joe",It's Always Somethin',10,85.0,2000-10-14
"McGraw, Tim",Some Things Never Change,10,58.0,2000-07-15
"Henley, Don",Taking You Home,10,68.0,2000-08-26
Eminem,The Way I Am,10,86.0,2000-10-28
Nas,You Owe Me,10,69.0,2000-05-27
Sister Hazel,Change Your Mind,10,78.0,2000-09-16
"McBride, Martina",There You Are,10,63.0,2000-11-11
Lil' Kim,No Matter What They Say,10,97.0,2000-09-16
Splender,I Think God Can Explain,10,89.0,2000-08-12
M2M,Mirror Mirror,10,70.0,2000-06-03
Kumbia Kings,U Don't Love Me,10,100.0,2000-05-06
Joe,Treat Her Like A Lady,10,79.0,2000-10-07
"Blige, Mary J.",Deep Inside,10,67.0,2000-01-15
"Price, Kelly",You Should've Told Me,10,68.0,2000-11-25
Changing Faces,That Other Woman,10,85.0,2000-12-02
"Wright, Chely",It Was,10,98.0,2000-05-06
Limp Bizkit,Rollin',10,78.0,2001-01-13
Hot Boys,I Need A Hot Girl,10,90.0,2000-04-22
"Adkins, Trace",More,10,83.0,2000-07-01
"Dixie Chicks, The",Cold Day In July,10,91.0,2000-08-26
DMX,What's My Name,10,94.0,2000-03-18
"Blige, Mary J.",Give Me You,10,100.0,2000-06-17
Red Hot Chili Peppers,Californication,10,79.0,2000-09-30
Third Eye Blind,Deep Inside Of You,10,97.0,2000-11-04
"Anthony, Marc",My Baby You,10,76.0,2000-11-18
"Loveless, Patty",That's The Kind Of Mood I'm In,10,71.0,2000-11-18
"Rimes, LeAnn",Can't Fight The Moonlight,10,79.0,2000-11-11
Lil Wayne,Tha Block Is Hot,10,87.0,2000-02-05
Drama,"Left, Right, Left",10,96.0,2000-04-15
Limp Bizkit,N 2 Gether Now,10,97.0,2000-02-05
Ying Yang Twins,Whistle While You Twurk,10,89.0,2000-05-20
"Walker, Clay","Live, Laugh, Love",10,92.0,2000-02-05
Metallica,No Leaf Clover (Live),10,95.0,2000-04-15
Big Punisher,It's So Hard,10,84.0,2000-06-24
"Worley, Darryl",When You Need My Love,10,80.0,2000-08-19
Lil' Kim,How Many Licks?,10,96.0,2001-01-27
"Cagle, Chris",My Love Goes On And On,10,83.0,2000-12-23
Metallica,I Disappear,10,84.0,2000-07-15
Jay-Z,Hey Papi,10,77.0,2000-10-14
Fatboy Slim,The Rockafeller Skank,10,92.0,2000-01-15
Ginuwine,The Best Man I Can Be,10,77.0,2000-03-11
Stone Temple Pilots,Sour Girl,10,93.0,2000-09-09
"Cyrus, Billy Ray",You Won't Be Lonely Now,10,80.0,2000-11-25
Clark Family Experience,Meanwhile Back At The Ranch,10,81.0,2001-01-20
"Thomas, Carl",Summer Rain,10,94.0,2000-11-25
Trick Daddy,Shut Up,10,92.0,2000-07-22
Cam'ron,What Means The World To You,10,92.0,2000-12-16
Madison Avenue,Don't Call Me Baby,10,92.0,2000-09-09
Limp Bizkit,Re-Arranged,10,88.0,2000-02-05
"Hart, Beth",L.A. Song,10,97.0,2000-01-29
"Herndon, Ty",No Mercy,10,96.0,2000-05-20
Destiny's Child,Independent Women Part I,11,1.0,2000-12-02
Santana,"Maria, Maria",11,1.0,2000-04-22
Savage Garden,I Knew I Loved You,11,4.0,2000-01-01
Madonna,Music,11,2.0,2000-10-21
"Aguilera, Christina",Come On Over Baby (All I Want Is You),11,1.0,2000-10-14
Janet,Doesn't Really Matter,11,1.0,2000-08-26
Destiny's Child,Say My Name,11,17.0,2000-03-04
"Iglesias, Enrique",Be With You,11,5.0,2000-06-10
Sisqo,Incomplete,11,2.0,2000-09-02
Lonestar,Amazed,11,26.0,1999-08-14
N'Sync,It's Gonna Be Me,11,5.0,2000-07-15
"Aguilera, Christina",What A Girl Wants,11,2.0,2000-02-05
Vertical Horizon,Everything You Want,11,17.0,2000-04-01
Creed,With Arms Wide Open,11,70.0,2000-07-22
Aaliyah,Try Again,11,9.0,2000-05-27
matchbox twenty,Bent,11,8.0,2000-07-08
"Carey, Mariah",Thank God I Found You,11,1.0,2000-02-19
"Hill, Faith",Breathe,11,30.0,2000-01-15
Mya,Case Of The Ex (Whatcha Gonna Do),11,17.0,2000-10-28
Dream,He Loves U Not,11,11.0,2000-12-09
"Braxton, Toni",He Wasn't Man Enough,11,4.0,2000-05-27
"Anthony, Marc",You Sang To Me,11,13.0,2000-05-06
98¡,Give Me Just One Night (Una Noche),11,7.0,2000-10-28
Destiny's Child,Jumpin' Jumpin',11,13.0,2000-07-22
3 Doors Down,Kryptonite,11,51.0,2000-06-17
Sisqo,Thong Song,11,6.0,2000-04-08
"Aguilera, Christina",I Turn To You,11,17.0,2000-06-24
"Houston, Whitney",My Love Is Your Love,11,8.0,1999-11-13
Joe,I Wanna Know,11,27.0,2000-03-11
"Jordan, Montell",Get It On.. Tonite,11,24.0,2000-01-01
N'Sync,Bye Bye Bye,11,5.0,2000-04-08
Eminem,The Real Slim Shady,11,8.0,2000-07-15
Pink,Most Girls,11,5.0,2000-10-21
"Mumba, Samantha",Gotta Tell You,11,6.0,2000-11-18
Blaque,Bring It All To Me,11,9.0,2000-01-01
"Elliott, Missy ""Misdemeanor""",Hot Boyz,11,8.0,2000-02-05
"Gray, Macy",I Try,11,7.0,2000-04-29
N'Sync,This I Promise You,11,6.0,2000-12-09
Ruff Endz,No More,11,8.0,2000-09-09
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,11,7.0,2000-03-11
Nine Days,Absolutely (Story Of A Girl),11,11.0,2000-07-15
"Dion, Celine",That's The Way It Is,11,11.0,2000-01-22
Blink-182,All The Small Things,11,7.0,2000-02-12
Eiffel 65,Blue (Da Ba Dee),11,13.0,2000-02-19
"Badu, Erkyah",Bag Lady,11,8.0,2000-10-28
Pink,There U Go,11,15.0,2000-05-13
Creed,Higher,11,57.0,1999-11-20
Nelly,(Hot S**t) Country Grammar,11,37.0,2000-07-08
Next,Wifey,11,21.0,2000-08-05
Sonique,It Feels So Good,11,13.0,2000-04-01
"Spears, Britney",Oops!.. I Did It Again,11,14.0,2000-07-01
"Backstreet Boys, The",Shape Of My Heart,11,17.0,2000-12-23
Everclear,Wonderful,11,28.0,2000-09-16
Ja Rule,Between Me And You,11,11.0,2000-11-25
"Rimes, LeAnn",I Need You,11,13.0,2000-08-05
Smash Mouth,Then The Morning Comes,11,16.0,2000-01-08
Jay-Z,I Just Wanna Love U (Give It 2 Me),11,12.0,2001-01-06
Jagged Edge,Let's Get Married,11,23.0,2000-07-15
Filter,Take A Picture,11,12.0,2000-02-05
"Martin, Ricky",She Bangs,11,22.0,2000-12-16
Mystikal,Shake Ya Ass,11,14.0,2000-10-21
BBMak,Back Here,11,19.0,2000-07-08
"Spears, Britney",From The Bottom Of My Broken Heart,11,41.0,2000-04-08
Third Eye Blind,Never Let You Go,11,14.0,2000-04-01
Red Hot Chili Peppers,Otherside,11,29.0,2000-04-22
Profyle,Liar,11,35.0,2000-11-25
Barenaked Ladies,Pinch Me,11,16.0,2000-11-18
Jagged Edge,He Can't Love U,11,24.0,2000-02-19
504 Boyz,Wobble Wobble,11,64.0,2000-06-24
Sting,Desert Rose,11,19.0,2000-07-22
Jay-Z,Big Pimpin',11,21.0,2000-07-01
Kid Rock,Only God Knows Why,11,21.0,2000-04-29
Foo Fighters,Learn To Fly,11,22.0,1999-12-25
"Dixie Chicks, The",Goodbye Earl,11,86.0,2000-05-27
Guy,Dancin',11,94.0,2000-02-26
Lil Bow Wow,Bounce With Me,11,27.0,2000-10-28
Westlife,Swear It Again,11,32.0,2000-06-10
Train,Meet Virginia,11,22.0,1999-12-18
"Thomas, Carl",I Wish,11,22.0,2000-06-03
"Simpson, Jessica",I Think I'm In Love With You,11,38.0,2000-09-09
Ludacris,What's Your Fantasy,11,22.0,2000-12-09
Lil' Zane,Callin' Me,11,67.0,2000-10-07
M2M,Don't Say You Love Me,11,98.0,2000-01-29
SoulDecision,Faded,11,22.0,2000-09-16
"Brock, Chad",Yes!,11,28.0,2000-06-17
"Martin, Ricky",Shake Your Bon-Bon,11,91.0,2000-01-29
Vertical Horizon,You're A God,11,23.0,2000-11-04
Avant,Separated,11,23.0,2000-07-08
"Rimes, LeAnn",Big Deal,11,26.0,1999-12-25
IMx,Stay The Night,11,40.0,1999-12-18
Dr. Dre,The Next Episode,11,26.0,2000-08-05
"Spears, Britney",Lucky,11,100.0,2000-10-21
Savage Garden,Crash And Burn,11,34.0,2000-06-17
Kandi,Don't Think I'm Not,11,26.0,2000-10-14
Sammie,I Like It,11,29.0,2000-04-08
Goo Goo Dolls,Broadway,11,24.0,2000-07-01
"Moore, Mandy",I Wanna Be With You,11,42.0,2000-08-26
Dr. Dre,Forgot About Dre,11,25.0,2000-04-01
D'Angelo,Untitled (How Does It Feel),11,39.0,2000-04-01
"Messina, Jo Dee",That's The Way,11,31.0,2000-09-02
Avant,My First Love,11,32.0,2001-01-13
Son By Four,A Puro Dolor (Purest Of Pain),11,48.0,2000-06-17
Da Brat,What'Chu Like,11,26.0,2000-08-12
DMX,Party Up (Up In Here),11,27.0,2000-05-06
"Dixie Chicks, The",Cowboy Take Me Away,11,27.0,2000-02-05
"McGraw, Tim",My Next Thirty Years,11,28.0,2000-12-30
"Tritt, Travis",Best Of Intentions,11,33.0,2000-10-28
Alice Deejay,Better Off Alone,11,36.0,2000-06-17
Hoku,Another Dumb Blonde,11,53.0,2000-04-29
"Houston, Whitney",I Learned From The Best,11,82.0,2000-04-29
Counting Crows,Hanginaround,11,29.0,2000-01-15
Mary Mary,Shackles (Praise You),11,31.0,2000-06-03
"McGraw, Tim",My Best Friend,11,29.0,2000-02-05
Sugar Ray,Falls Apart,11,47.0,2000-03-25
"Jones, Donell",Where I Wanna Be,11,33.0,2000-07-01
"Paisley, Brad",We Danced,11,36.0,2000-12-23
Lonestar,What About Now,11,30.0,2000-08-19
"Backstreet Boys, The",The One,11,76.0,2000-08-05
"Keith, Toby",How Do You Like Me Now?!,11,31.0,2000-04-08
"Strait, George",The Best Day,11,33.0,2000-04-08
"Dixie Chicks, The",Without You,11,35.0,2000-12-16
Musiq,Just Friends (Sunny),11,32.0,2000-12-23
"McEntire, Reba",What Do You Say,11,53.0,2000-01-08
"Braxton, Toni",Just Be A Man About It,11,50.0,2000-10-07
"Iglesias, Enrique",Rhythm Divine,11,49.0,2000-02-12
"Fabian, Lara",I Will Love Again,11,37.0,2000-08-19
Bon Jovi,It's My Life,11,35.0,2000-10-21
"Evans, Sara",Born To Fly,11,34.0,2000-12-30
"Chesney, Kenny",I Lost It,11,36.0,2000-12-30
J-Shin,One Night Stand,11,38.0,2000-03-04
Eve,Love Is Blind,11,50.0,2000-03-18
Aaliyah,I Don't Wanna,11,37.0,2000-04-08
"Montgomery, John Michael",The Little Girl,11,37.0,2000-11-18
"Carter, Aaron",Aaron's Party (Come Get It),11,67.0,2000-11-04
"Vassar, Phil",Just Another Day In Paradise,11,43.0,2000-12-09
Ice Cube,You Can Do It,11,73.0,2000-02-12
"Wills, Mark",Back At One,11,45.0,2000-03-25
Lucy Pearl,Dance Tonight,11,36.0,2000-07-29
"Jackson, Alan",It Must Be Love,11,37.0,2000-09-02
"Griggs, Andy",She's More,11,47.0,2000-05-20
No Doubt,Simple Kind Of Life,11,88.0,2000-09-09
"Jean, Wyclef",911,11,44.0,2000-12-16
Rascal Flatts,Prayin' For Daylight,11,49.0,2000-07-15
Vitamin C,Graduation (Friends Forever),11,57.0,2000-06-24
"Gilman, Billy",One Voice,11,43.0,2000-08-26
Lonestar,Smile,11,43.0,2000-02-26
"Rogers, Kenny",Buy Me A Rose,11,46.0,2000-05-20
"Lawrence, Tracy",Lessons Learned,11,40.0,2000-04-08
"Strait, George",Go On,11,44.0,2000-11-04
Sisqo,Got To Get It,11,43.0,2000-01-29
Baha Men,Who Let The Dogs Out,11,53.0,2000-09-30
"Walker, Clay",The Chain Of Love,11,44.0,2000-06-24
"McBride, Martina",Love's The Only House,11,42.0,2000-04-15
Amber,Sexual (Li Da Di),11,99.0,1999-09-25
"Tippin, Aaron",Kiss This,11,51.0,2000-11-04
SheDaisy,I Will.. But,11,44.0,2000-09-23
"Raye, Collin",Couldn't Last A Moment,11,48.0,2000-05-27
Black Rob,Whoa!,11,54.0,2000-05-13
"Jackson, Alan",Pop A Top,11,43.0,2000-01-22
"Black, Clint",Been There,11,44.0,2000-04-29
Common,The Light,11,52.0,2000-10-14
"Vassar, Phil",Carlene,11,52.0,2000-05-13
"Jackson, Alan",www.memory,11,63.0,2001-01-13
"Eastsidaz, The",G'D Up,11,83.0,2000-03-18
Ideal,Whatever,11,47.0,2000-08-19
"Thomas, Carl",Emotional,11,60.0,2001-02-03
Ginuwine,None Of Ur Friends Business,11,64.0,2000-02-19
"Davidson, Clay",Unconditional,11,54.0,2000-06-03
DMX,What You Want,11,52.0,2000-09-09
"John, Elton",Someday Out Of The Blue,11,93.0,2000-07-01
Mya,The Best Of Me,11,72.0,2000-06-24
"Heatherly, Eric",Flowers On The Wall,11,65.0,2000-07-08
Eminem,Stan,11,69.0,2001-01-13
"McEntire, Reba",I'll Be,11,52.0,2000-07-22
"Lopez, Jennifer",Feelin' Good,11,96.0,2000-04-29
"Urban, Keith",Your Everything,11,55.0,2000-09-23
"Gill, Vince",Feels Like Love,11,53.0,2000-11-11
"Houston, Whitney",Could I Have This Kiss Forever,11,59.0,2000-08-26
Bloodhound Gang,The Bad Touch,11,96.0,2000-05-27
"Williams, Robbie",Angels,11,72.0,2000-01-29
"Messina, Jo Dee",Because You Love Me,11,61.0,2000-04-08
